sgPartido,vlrLiquido
MDB,1987041.9
SOLIDARIEDADE,977604.64
PP,966352.23
PT,864569.89
PSL,845641.38
PODE,840874.93
PTB,811826.57
PSDB,35497.06
PRB,28935.71
DEM,12594.31
