sgPartido,Total_gastos,Qtde_parlamentares
MDB,1987041.9,3
PP,966352.23,2
PT,864569.89,2
PSL,845641.38,2
SOLIDARIEDADE,977604.64,1
PODE,840874.93,1
PTB,811826.57,1
PSDB,35497.06,1
PRB,28935.71,1
DEM,12594.31,1
