txtFornecedor,vlrLiquido
Cia Aérea - GOL,59.39
Cia Aérea - GOL,35.0
Cia Aérea - GOL,686.29
Cia Aérea - GOL,988.85
Cia Aérea - GOL,1159.75
Cia Aérea - GOL,1451.07
Cia Aérea - GOL,1336.24
Cia Aérea - GOL,728.85
Cia Aérea - GOL,880.85
Cia Aérea - GOL,849.85
Cia Aérea - GOL,1042.85
Cia Aérea - GOL,739.39
Cia Aérea - GOL,790.85
Cia Aérea - GOL,918.85
Cia Aérea - GOL,1081.85
Cia Aérea - GOL,1722.85
Cia Aérea - GOL,1136.85
Cia Aérea - GOL,849.85
Cia Aérea - GOL,1113.85
Cia Aérea - GOL,1081.85
Cia Aérea - GOL,1722.85
Cia Aérea - GOL,1127.85
Cia Aérea - GOL,1386.57
Cia Aérea - GOL,2.28
Cia Aérea - GOL,36.0
Cia Aérea - GOL,1081.85
Cia Aérea - TAM,1362.85
Cia Aérea - TAM,945.39
Cartuchos e Cia,320.0
America Auto Posto Ltda F01,140.0
Auto Posto Bacaba Ltda Epp,86.02
AUTO POSTO CINCO ESTRELAS LTDA,100.0
AUTO POSTO SAO CHARBEL LTDA,150.0
AUTO POSTO SAO CHARBEL LTDA,205.02
BOM CLIMA COM DE COMB E LUBRIF LTDA,2500.0
BOM CLIMA COM DE COMB E LUBRIF LTDA,100.0
BOM CLIMA COMERCIO DE COMBUSTIVEIS LTDA,474.45
C. CARVALHO SILVA E CIA LTDA,50.01
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,50.0
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,76.27
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,181.24
COMERCIAL AMAZONIA DE PETROLEO LTDA,100.0
COMERCIO DE COMBUSTIVEIS CARMELITANO LTDA,50.0
COOPERATIVA DOS PRODUTORES DE LEITE DE CAMPINAPOLIS,183.16
D E CERUTTI & CIA LTDA,158.0
DRA 4 DERIVADOS DE PETROLEO LTDA,178.38
LESTE COMERCIO DE PETROLEO E DERIVADOS LTDA,100.0
LESTE COMERCIO DE PETROLEO E DERIVADOS LTDA,100.0
Orlando Ribeiro Vilela,50.07
Paulo Andreis e Cia Ltda,75.0
POSTO DA TORRE EIRELI - EPP,150.63
POSTO DA TORRE EIRELI - EPP,260.28
QUEIROZ PARREIRA E CIA LTDA,100.0
REDE DE POSTOS 3R LTDA,132.02
Rede Mais Comercio de Combustiveis Ltda,122.15
RENASCENCA AUTO POSTO LTDA,127.3
MULTICOR IMPRESSOS INDUSTRIA COM E REPRESENTACOES LTDA,12000.0
Naila Marques Fontes,6000.0
RAMAL,21.43
TELEFONICA BRASIL S.A.,2638.92
TELEFÔNICA BRASIL S.A.,229.99
CORREIOS - ENCOMENDA PAC,1617.74
A E S GASTRONOMIA LTDA,113.19
A E S GASTRONOMIA LTDA,47.85
AQUILES ABREU DE CASTRO - ME,74.0
ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA,12.9
ASS DOS SERVIDORES DA CAMARA DOS DEPUTADOS,20.65
