Total_gastos,Qtde_parlamentares_partido,sgPartido
1.0,1.0,MDB
0.48305051237141217,0.5,SOLIDARIEDADE
0.43150073180721904,0.5,PP
0.4219139946885093,0.5,PT
0.48874952917843717,0.0,PSL
0.4194999270656761,0.0,PODE
0.404787781680242,0.0,PTB
0.011599573529323205,0.0,PSDB
0.008276441513446302,0.0,PRB
0.0,0.0,DEM
